date;pid;work_id;sick_leave
2021;26059338050;118415099;293
2021;11037593182;118415099;335
2021;28059341028;118415099;259
2021;27067135994;118415099;192
2021;11098608328;118415099;9
2021;25045948916;118415099;202
2021;16077876662;118415099;44
2021;13095947906;118415099;20
2021;31108511310;118415099;297
2021;12049130630;118415099;52
2021;19029096852;118415099;54
2021;13099402124;118415099;154
2021;21068056176;118415099;12
2021;11037798556;118415099;330
2021;21095895820;118415099;158
2021;16010474032;118415099;317
2021;12126935366;118415099;162
2021;18098434992;118415099;341
2021;18059455822;118415099;119
2021;16118207438;118415099;309
2021;27089125334;118415099;198
2021;12097443118;118415099;49
2021;26058623568;118415099;134
2021;31075512040;118415099;83
2021;26016093472;118415099;243
2021;16056213242;118415099;138
2021;23049129124;118415099;323
2021;19068425988;118415099;265
2021;29067529808;118415099;13
2021;12070363904;118415099;358
2021;22027826816;118415099;316
2021;29108191458;118415099;342
2021;14016366498;118415099;86
2021;18075589652;118415099;251
2021;30046799076;118415099;234
2021;12045569456;118415099;223
2021;28127304494;118415099;15
2021;26098054032;118415099;56
2021;18087326424;118415099;35
2021;27047114054;118415099;78
2021;31059403258;118415099;294
2021;30078901620;118415099;65
2021;17016328224;118415099;211
2021;11087178448;118415099;325
2021;16037204850;118415099;53
2021;24017380746;118415099;271
2021;10055808190;118415099;259
2021;20128006192;118415099;263
2021;24018043088;118415099;230
2021;24036960142;118415099;342
2021;30055551344;118415099;1
2021;22098201230;118415099;145
2021;27076834030;118415099;82
2021;29105706328;118415099;192
2021;17049150382;118415099;293
2021;29037417976;118415099;75
2021;16077118616;118415099;250
2021;18118538030;118415099;199
2021;25027642454;118415099;94
2021;18108596420;118415099;274
2021;17108520202;118415099;15
2021;25068064966;118415099;81
2021;22075911936;118415099;65
2021;19098607546;118415099;101
2021;20088458870;118415099;308
2021;28118851512;118415099;277
2021;24068169660;118415099;345
2021;26087099070;118415099;156
2021;11068299166;118415099;17
2021;28029512432;118415099;112
2021;22065663098;118415099;177
2021;10085524164;118415099;24
2021;23116983254;118415099;129
2021;20119263148;118415099;6
2021;12128194572;118415099;138
2021;22125717758;118415099;51
